Representation,Method,Chi-square p,Cluster,Cluster Size (ACRs),Shannon Diversity Index,Top Function 1,Top 1 (%),Top Function 2,Top 2 (%),Top Function 3,Top 3 (%)
binary_1gram_tfidf,KMeans,<0.001,2,5712,1.29,Chromatin & Development,59.31,Multifunctional DOF Regulation,35.83,Vascular Development,2.23
binary_1gram_tfidf,KMeans,<0.001,3,3773,1.253,Chromatin & Development,52.24,Multifunctional DOF Regulation,44.27,Inflorescence Development,1.43
binary_1gram_tfidf,KMeans,<0.001,4,3846,1.126,Multifunctional DOF Regulation,76.96,Vascular Development,12.48,Chromatin & Development,8.29
binary_1gram_tfidf,Hierarchical,<0.001,0,3730,1.239,Multifunctional DOF Regulation,67.25,Chromatin & Development,17.23,Vascular Development,15.51
binary_1gram_tfidf,Hierarchical,<0.001,1,3941,0.992,Chromatin & Development,55.13,Multifunctional DOF Regulation,44.87,Inflorescence Development,0.0
binary_1gram_tfidf,Hierarchical,<0.001,2,15704,2.228,Multifunctional DOF Regulation,45.35,Chromatin & Development,30.51,Inflorescence Development,7.7
binary_1gram_tfidf,Hierarchical,<0.001,3,4049,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
binary_1gram_tfidf,Hierarchical,<0.001,4,3871,0.91,Chromatin & Development,67.45,Multifunctional DOF Regulation,32.55,Inflorescence Development,0.0
binary_2gram_tfidf,KMeans,<0.001,0,22916,1.915,Multifunctional DOF Regulation,52.22,Chromatin & Development,30.33,Vascular Development,6.81
binary_2gram_tfidf,KMeans,<0.001,1,1699,0.793,Multifunctional DOF Regulation,83.94,Chromatin & Development,12.5,Vascular Development,2.85
binary_2gram_tfidf,KMeans,<0.001,2,1920,0.652,Multifunctional DOF Regulation,87.93,Chromatin & Development,9.68,Vascular Development,1.53
binary_2gram_tfidf,KMeans,<0.001,3,2031,1.223,Chromatin & Development,63.03,Multifunctional DOF Regulation,32.62,Vascular Development,2.33
binary_2gram_tfidf,KMeans,<0.001,4,2729,1.171,Chromatin & Development,63.29,Multifunctional DOF Regulation,33.29,Vascular Development,1.84
