Representation,Method,Clusters,Largest Cluster,Smallest Cluster,Silhouette,Calinski-Harabasz,Davies-Bouldin,ARI Stability
interval_binary_1gram_tfidf,KMeans,5,13915,3773,0.5762078928658976,10745.67858287645,1.1149693827352916,0.9750613135644811
interval_binary_1gram_tfidf,Hierarchical,5,15704,3730,0.5464640801904306,9486.119820848377,1.1080233826362647,
interval_binary_2gram_tfidf,KMeans,5,25167,1409,0.47116853481046495,1917.8977615620827,1.8038875497520699,0.7619815357251662
interval_binary_2gram_tfidf,Hierarchical,5,28554,399,0.4465255898258097,1602.5923663597837,0.7436129981428641,
interval_binary_3gram_tfidf,KMeans,5,30410,109,0.5874564020361756,328.09284740291406,1.7779373163223688,0.48282719683249326
interval_binary_3gram_tfidf,Hierarchical,5,30717,102,0.5869674725527974,409.7260310182281,0.8905278975952099,
interval_binary_combined_tfidf,KMeans,5,22637,1611,0.3817162062892434,2945.5940804719557,1.5608389833930352,0.8793913214922517
interval_binary_combined_tfidf,Hierarchical,5,23638,1195,0.37891248871075467,2841.0704533414355,1.56677601087589,
strand_interval_count_1gram_tfidf,KMeans,5,16158,2443,0.42204193301232623,5122.398745098445,1.5192572683620387,0.9704221173945863
strand_interval_count_1gram_tfidf,Hierarchical,5,15054,1843,0.3970223146988868,3877.5120228810288,1.858747039290194,
strand_interval_count_2gram_tfidf,KMeans,5,26967,982,0.4336137225648755,974.810675886211,1.9969146774740754,0.5581959393626637
strand_interval_count_2gram_tfidf,Hierarchical,5,29965,266,0.41435660984291806,823.3952468463567,0.44862775782776315,
strand_interval_count_3gram_tfidf,KMeans,5,31070,8,0.5784110961414949,82.15541845775637,1.7373730368203546,0.17490987115960613
strand_interval_count_3gram_tfidf,Hierarchical,5,30943,39,0.5804685701177761,144.21376117218819,1.6202284852752649,
strand_interval_count_combined_tfidf,KMeans,5,24451,1606,0.33584567825789646,2125.4432920674044,1.829480564009728,0.6863157851367541
strand_interval_count_combined_tfidf,Hierarchical,5,26729,587,0.3210873018234371,2024.978812762587,1.0069215612915454,
strand_interval_binary_1gram_tfidf,KMeans,5,15455,3552,0.42306005142791975,4882.224655558817,1.651610065909114,0.8759660267446567
strand_interval_binary_1gram_tfidf,Hierarchical,5,15130,1843,0.41347429516184675,3959.768581349674,1.8302239676180196,
strand_interval_binary_2gram_tfidf,KMeans,5,27407,826,0.42833160239926293,839.4132911643272,2.0871667377977543,0.6257637388613204
strand_interval_binary_2gram_tfidf,Hierarchical,5,29965,266,0.4165059491668627,824.2540805951968,0.4478403800101026,
strand_interval_binary_3gram_tfidf,KMeans,5,31070,8,0.5783878651453295,81.66558861906091,1.741049387652731,0.15110601883885447
strand_interval_binary_3gram_tfidf,Hierarchical,5,30941,39,0.5804459399017855,143.1489011924652,1.6407765615979901,
strand_interval_binary_combined_tfidf,KMeans,5,26031,914,0.3347162101875555,2005.170988964094,1.3989877002685462,0.655387608745304
strand_interval_binary_combined_tfidf,Hierarchical,5,26235,623,0.3314427628809415,2015.6091132307813,1.390774671365981,
